fills,effects,font,count
#44DEFF,,Manrope 600 16.0,8
,"DROP_SHADOW r5.67 o1.4,4.2 #000000@0.1 | DROP_SHADOW r1.42 o0.4,0.7 #000000@0.1",,8
#E88400,,,8
IMAGE:ae0884d5c6934e3d9dea0df7bd7a10ed5ae471f5,,,8
GRADIENT_LINEAR(#5685FF>#66FFD5),,,8
#04080F,,,8
#38DCAB,,,8
GRADIENT_LINEAR(#8FDDFF>#567599),LAYER_BLUR r1.6,,8
#8FDDFF,LAYER_BLUR r5.3,,8
GRADIENT_LINEAR(#FFFFFF@0.0>#FFFFFF)~0.59,LAYER_BLUR r9.3,,8
GRADIENT_LINEAR(#97F8FF>#8EF3FF>#76E4FE>#4ECCFE>#18ABFC>#009CFC)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,8
#B26AFF~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,8
#CECAC0 | IMAGE:edc7c6d7db7937efdd4952f6296bfe02330d5ab4~0.3 | IMAGE:74938e2f7c792064075dae1dd6a4cb6be5122caf~0.3,"INNER_SHADOW r7.0 o0.0,-15.0 #000000@0.5",,8
#000000,"DROP_SHADOW r7.0 o0.0,-2.0 s6.0 #DCECFF@0.61",,8
#000000,LAYER_BLUR r2.0,,8
IMAGE:cef36e1ba464ce1115017bc97c4a365a777f6c14 | #333333~0.4,"INNER_SHADOW r5.0 o0.0,1.0 s3.0 #000000@0.75",,8
#000000,"INNER_SHADOW r4.0 o0.0,4.0 #FFFFFF@0.2",,8
,LAYER_BLUR r10.0,,8
#1D2129,,,8
#090609,,,8
#131423,,,8
#07144C,,,8
#030303~0.8,LAYER_BLUR r3.0,,8
GRADIENT_RADIAL(#161F88>#56188D),LAYER_BLUR r1.0,,8
