id,name,description,component_set_id,key
2445:2438,"Size=Mb, Style=Light Mode",,2445:2374,5ea9508487aa4601edada4e5adf9e5993c3ded50
130:2792,phone,,,684fec87d793d27422fd0d9a4d933d95e67b8f63
130:2816,mail-opened,,,b0cf7bc24808a3fdbbe2675d7e7f7dc698c1119a
2445:2479,Style=Round,,2445:2478,97d5492c2b67c63ad932e4fc0f1ecec36e3cb5f8
2445:2370,nav-arrow-up,,,aeeaa216ee383709fec544787f7d9a0feb48b0da
2445:2482,Style=Style4,,2445:2478,e3ad3d3ea3b2e004a30f80bd7c2ceb0301e8f661
2445:2488,Style=Style3,,2445:2478,cd78c1b0b2670a0c9d33c4c5c9f7d4bf78174cfd
2444:4545,State=Hover,,2443:4156,a10fb2a831f595b2f827f39d04948f235adca6f9
2445:2781,"State=Hover, Style=Unbox",,2445:2783,25fc76395575752c4b14a0cb2c6b5b7ccf3438b5
2445:2821,"State=Press, Style=Unbox",,2445:2783,5805d84a2c8213c5c7ba096e258107116d7c3c48
2531:6500,"State=Press, Style=Box",,2445:2783,5d5fcff1b7813fbcc554c638eba48088f28b0d3f
2675:12040,Property 1=menu-scale,,2675:12041,da41f72031c6241c9404ee77c1868e58fa8608fe
34:913,arrow-down-circle,,,18bb81a5152e0a05032d4519052a8917bc944998
34:838,arrow-up,,,a7b0d8e9f3f0e11636f8c73dd9a70d0b1167d650
34:843,arrow-down,,,837bc2d72bfb75f197c2f5a9b61893d210f3b323
2443:4262,long-arrow-up-right,,,b523a2ee44a19b858fa5409fee05313280627735
2443:4263,long-arrow-up-left,,,0af70c27a29c0258cefbc4a0eed4974d05a121c5
34:824,long-arrow-left-down,,,fd79bc37323b8929560c790c761108f9b5898c72
34:840,long-arrow-right-down,,,f4f6f6f5be70ef136c860c6bab3e10dd67221497
34:827,long-arrow-left-up,,,4889980d29c960abd7e2d12d3172422044cfa9a8
34:819,long-arrow-right-up,,,f2482e7a5e60ffea17d802d93149c6b438b09d33
34:835,long-arrow-down-left,,,caa39cc9cd46c4f87c568524fdeeae1c628c7500
2443:4254,Type=nav-arrow-left,,2443:4264,fbe7af5b98843da58a6b750519b1e685c2c7a324
2443:4255,Type=nav-arrow-right,,2443:4264,3409ca86bde8f1e658c369038fe13e60bae0c370
34:861,enlarge-round-arrow,,,7c23526a8ca1e1a228d5971741a7e1f4c132b72f
34:865,fast-arrow-right-box,,,8dbb6ab1ea69c7b499fb648f52540134e409eb4e
34:869,fast-arrow-left-box,,,01bc52ef8c63a8b726d88d2c734addf95a95c19e
34:873,fast-arrow-up-box,,,49e30a16f37da13cbc313a5f8037ec7fc86d9f77
34:877,arrow-union,,,613095e0c102e1cde05ce94d3d087d00c5823ae1
34:845,arrow-separate,,,aff6d2e0d7a5bba3714155832b73fff1b44a0d60
34:880,arrow-separate-vertical,,,dd719ad1d7635e6af7ad59458151460ea249c996
34:883,arrow-union-vertical,,,cab2a2c3db6fbd9e60ccd29911858fc2ff29dd2f
34:887,fast-arrow-down-box,,,5aec028fb19c23accee3301cc025963906da3ba7
34:891,right-round-arrow,,,65ab889e33a2b1a3226980343a08eef42adc5ced
34:894,left-round-arrow,,,abfcb8433d1e4167cdeae0df1f54c05c79bd27c5
34:897,fast-right-circle,,,f3932b948eca464f211373233de4c4fe278e3225
34:901,fast-left-circle,,,8e97cbf07773217cbf230e964e6ad0e96d3aba06
34:905,fast-up-circle,,,f0c75abd55e8972363e4373e46e283fcae77631f
34:909,fast-down-circle,,,55639551e607ae971aefe4080f226f8928ed59fa
34:916,arrow-left-circle,,,4110cb3819830c80240fa4a1d6fac8a5a5789b64
34:919,arrow-up-circle,,,ebdd877dd7e2c532ad0212548c04db79d3671841
34:922,arrow-right-circle,,,0c516136f010a60e1d7aec67a67b74dc58f87e48
34:925,more-horiz-circle,,,e39b0090ed796efcff0b5dabe36417e1efe278b0
34:931,more-vert-circle,,,949d9483be3deaef6f7eaf6ca107cefaf5f817d4
34:936,more-horiz,,,68dd2b5c41bee04128405715d09ef1b39596bad3
