page,node_id,path,characters,font_family,font_weight,font_size,color
🔵 UI_Phase 1,I3139:5641;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Email công ty,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:5641;2448:6770,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:5641;64:1264,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập số điện thoại của bạn,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I3139:5641;64:1267,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I2448:7795;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Tên doanh nghiệp,Inter,500,16.0,#131927
🔵 UI_Phase 1,I2448:7795;2448:6770,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I2448:7795;64:1264,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập tên doanh nghiệp,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I2448:7795;64:1267,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I2448:7796;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Website doanh nghiệp,Inter,500,16.0,#131927
🔵 UI_Phase 1,I2448:7796;2448:6770,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I2448:7796;64:1264,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập website của bạn,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I2448:7796;64:1267,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I2448:7797;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Nhu cầu của bạn,Inter,500,16.0,#131927
🔵 UI_Phase 1,I2448:7797;2448:6770,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I2448:7797;64:1264,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập nội dung muốn yêu cầu,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I2448:7797;64:1267,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:10413;80:1530,Contact/Contact/Section 1/Frame 2147224779/Contact/Submit Container/Checkbox + Text/Placeholder,"Tôi đồng ý nhận thông tin về sản phẩm, dịch vụ và các cơ hội hợp tác từ chúng tôi.",Inter,400,14.0,#131927
🔵 UI_Phase 1,I2448:7799;34:1258,Contact/Contact/Section 1/Frame 2147224779/Contact/Submit Container/Button/Text/Button,Gửi,Inter,600,14.0,#FFFFFF
🔵 UI_Phase 1,I2531:10175;2531:9822,Contact/Contact/Footer Desk/Frame 2087326388/Công ty TNHH Một thành viên Công nghệ và Thương mại Wiinvent,Công ty TNHH Một thành viên Công nghệ và Thương mại Wiinvent,Inter,400,16.0,#FFFFFF
🔵 UI_Phase 1,I2531:10175;2531:9826;2445:2775,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading/Button,SDK,Bai Jamjuree,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2531:10175;2531:9827;2445:2775,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Demo,Bai Jamjuree,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2531:10175;2531:9828;2445:2775,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Liên hệ,Bai Jamjuree,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2531:10175;2531:9829;2531:6497,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Đăng ký Demo,Bai Jamjuree,600,16.0,#FFFFFF
