page,node_id,node_name,path,trigger,action,destination_id,navigation,transition_type,duration_ms,easing,direction,variable_id,variable_expr
🔵 UI_Phase 1,I2849:4356;2531:9858,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 2087326389/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2531:6498,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2849:4356;2531:9858,Button of Nav Heading,Contact/Contact/Footer Desk/Frame 2087326389/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2531:6498,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2849:4356;2531:10025,Back Button,Contact/Contact/Footer Desk/Frame 1527/Back Button,(legacy),NAVIGATE,2445:2488,,,100.0,LINEAR,,,
🔵 UI_Phase 1,I2849:4356;2531:10025,Back Button,Contact/Contact/Footer Desk/Frame 1527/Back Button,ON_HOVER,NODE,2445:2488,CHANGE_TO,SMART_ANIMATE,100.0,LINEAR,,,
🔵 UI_Phase 1,I2849:4356;2531:10025,Back Button,Contact/Contact/Footer Desk/Frame 1527/Back Button,ON_CLICK,NODE,2849:4338,SCROLL_TO,SCROLL_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:5992;2445:2787,Button of Nav Heading,Contact/Contact_Succes/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:5992;2445:2787,Button of Nav Heading,Contact/Contact_Succes/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:5992;2445:2794,Button of Nav Heading,Contact/Contact_Succes/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:5992;2445:2794,Button of Nav Heading,Contact/Contact_Succes/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:5992;2445:2801,Button of Nav Heading,Contact/Contact_Succes/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
